38693	5063	2010-01-01	0000-00-00	R	1	1	0	0	1	0	0	0	1	1
38431	4330	2006-01-01	0000-00-00	AIR TEC	1	1	0	0	1	0	0	0	1	1
36688	4330	2007-01-01	0000-00-00	CAT	1	1	0	0	1	0	0	0	1	1
36689	4330	2007-01-01	0000-00-00	FOX	0	1	0	0	1	0	0	0	0	0
36690	4330	2008-01-01	0000-00-00	JET	0	1	0	0	1	0	0	0	0	0
36691	4330	2008-01-01	0000-00-00	NOBLE	0	1	0	0	1	0	0	0	0	0
36692	4330	2007-01-01	0000-00-00	PANTHER	0	1	0	0	1	0	0	0	0	0
36693	4330	2007-01-01	0000-00-00	SILVER FOX	0	1	0	0	1	0	0	0	0	0
36694	4330	2007-01-01	0000-00-00	SUPERSONIC	0	1	0	0	1	0	0	0	0	0
36695	4330	2007-01-01	0000-00-00	THUNDER BIKE	0	1	0	0	1	0	0	0	0	0
14886	4455	2015-01-01	0000-00-00	9AO	0	0	0	0	0	0	0	0	0	1
14860	4455	2015-01-01	0000-00-00	A30	0	0	0	0	0	0	0	0	0	1
14859	4455	2015-01-01	0000-00-00	A35	0	0	0	0	0	0	0	0	0	1
14861	4455	2015-01-01	0000-00-00	A40	0	0	0	0	0	0	0	0	0	1
14862	4455	2015-01-01	0000-00-00	A45	0	0	0	0	0	0	0	0	0	1
14866	4455	2015-01-01	0000-00-00	A50	0	0	0	0	0	0	0	0	0	1
14867	4455	2015-01-01	0000-00-00	A55	0	0	0	0	0	0	0	0	0	1
14868	4455	2015-01-01	0000-00-00	A60	0	0	0	0	0	0	0	0	0	1
14871	4455	2015-01-01	0000-00-00	A70	0	0	0	0	0	0	0	0	0	1
14878	4455	2015-01-01	0000-00-00	A80	0	0	0	0	0	0	0	0	0	1
14880	4455	2015-01-01	0000-00-00	A90	0	0	0	0	0	0	0	0	0	1
14883	4455	2015-01-01	0000-00-00	AA0	0	0	0	0	0	0	0	0	0	1
14887	4455	2015-01-01	0000-00-00	AA1	0	0	0	0	0	0	0	0	0	1
14913	4455	2015-01-01	0000-00-00	AA4	0	0	0	0	0	0	0	0	0	1
14890	4455	2015-01-01	0000-00-00	AA5	0	0	0	0	0	0	0	0	0	1
14865	4455	2015-01-01	0000-00-00	AE5	0	0	0	0	0	0	0	0	0	1
14888	4455	2015-01-01	0000-00-00	AR2	0	0	0	0	0	0	0	0	0	1
14869	4455	2015-01-01	0000-00-00	AR4	0	0	0	0	0	0	0	0	0	1
14872	4455	2015-01-01	0000-00-00	AR5	0	0	0	0	0	0	0	0	0	1
14889	4455	2015-01-01	0000-00-00	ARA	0	0	0	0	0	0	0	0	0	1
14879	4455	2015-01-01	0000-00-00	AS1	0	0	0	0	0	0	0	0	0	1
14884	4455	2015-01-01	0000-00-00	AS2	0	0	0	0	0	0	0	0	0	1
14873	4455	2015-01-01	0000-00-00	AS3	0	0	0	0	0	0	0	0	0	1
14893	4455	2015-01-01	0000-00-00	AS5	0	0	0	0	0	0	0	0	0	1
14874	4455	2015-01-01	0000-00-00	B0E	0	0	0	0	0	0	0	0	0	1
14875	4455	2015-01-01	0000-00-00	B0S	0	0	0	0	0	0	0	0	0	1
14876	4455	2015-01-01	0000-00-00	B1A	0	0	0	0	0	0	0	0	0	1
14877	4455	2015-01-01	0000-00-00	B1S	0	0	0	0	0	0	0	0	0	1
14881	4455	2015-01-01	0000-00-00	B59	0	0	0	0	0	0	0	0	0	1
14882	4455	2015-01-01	0000-00-00	B5A	0	0	0	0	0	0	0	0	0	1
14911	4455	2015-01-01	0000-00-00	B5S	0	0	0	0	0	0	0	0	0	1
14928	4455	2015-01-01	0000-00-00	B90	0	0	0	0	0	0	0	0	0	1
14929	4455	2015-01-01	0000-00-00	BJS	0	0	0	0	0	0	0	0	0	1
14885	4455	2015-01-01	0000-00-00	BM9	0	0	0	0	0	0	0	0	0	1
14930	4455	2015-01-01	0000-00-00	BMA	0	0	0	0	0	0	0	0	0	1
14931	4455	2015-01-01	0000-00-00	BMS	0	0	0	0	0	0	0	0	0	1
14932	4455	2015-01-01	0000-00-00	BPS	0	0	0	0	0	0	0	0	0	1
14892	4455	2015-01-01	0000-00-00	BRE	0	0	0	0	0	0	0	0	0	1
14933	4455	2015-01-01	0000-00-00	BRS	0	0	0	0	0	0	0	0	0	1
14934	4455	2015-01-01	0000-00-00	BTR	0	0	0	0	0	0	0	0	0	1
14891	4455	2015-01-01	0000-00-00	BTS	0	0	0	0	0	0	0	0	0	1
