119512	33687
28251	21036
28251	31895
58731	24772
58731	31896
120080	33163
33667	21036
33667	31895
33667	31896
126961	31895
126961	31896
121446	33597
120081	33162
1052	24772
1052	31896
1052	31895
1053	21036
1053	31895
1053	32779
126956	31895
59698	21036
59698	31895
1054	24772
1054	31896
1054	31895
122082	33163
20872	21036
20872	31895
20872	31896
126962	31895
126962	31896
121235	33162
59224	24772
59224	31896
23484	24567
23484	31897
33668	24567
33668	24767
33668	31897
33668	31898
129101	31898
129103	31898
120643	35088
1060	24767
1060	31898
56931	24567
56931	24767
56931	31897
56931	31898
14518	4360
14518	31899
2589	4361
2589	31901
12413	21675
12426	21668
12430	21668
12431	21668
12436	21668
12437	21668
20712	19464
12439	21671
12440	21671
12442	21674
20772	26404
20773	26407
21886	19793
21887	19794
21888	19797
21889	19798
122791	19798
21890	19799
122788	19799
35007	29455
35008	29456
35009	29457
35010	29457
13527	21680
13529	22424
13531	21682
121719	33644
22076	19790
114900	29458
58928	29458
114899	20343
35018	20343
22078	19791
22079	19792
13532	21680
13533	25567
35011	25567
13534	21682
35015	31949
22075	19790
114898	29458
35013	29458
22077	19791
122046	20343
52026	20343
114873	31962
13535	21680
13536	22424
13537	21682
22080	19791
121720	33645
22081	19792
106407	30781
55061	30781
55062	29461
118718	29517
55063	33444
13542	26090
35025	25565
13544	25565
35026	4
11143	4
13545	4
35022	25565
13546	4
35023	4
114902	25566
13547	5
124363	31963
122792	21677
13548	21677
114901	31963
13895	26660
22160	19802
122479	19802
58927	25570
23776	19802
35028	25570
100513	31472
28435	21687
26770	21687
55247	31483
117337	31472
106287	29562
106286	29562
13562	20485
13566	20486
35031	31950
13573	20487
13579	20486
23696	20485
122793	31950
108557	31137
57959	31137
100583	31475
107054	29460
55246	29460
116886	29460
116887	29460
35034	31139
22231	19788
22232	19789
113806	31139
24662	21686
100872	29235
22233	19801
122789	19801
31720	21687
55248	21687
100582	29562
59555	29562
109567	33034
108077	33034
23787	19804
22238	19804
122484	19804
113808	31141
122790	21692
22239	19803
35038	19787
22301	19787
35039	29459
22302	19789
22359	19795
22360	5
116998	25566
22361	19798
22362	19799
122474	25569
24664	19800
22363	19800
30148	21151
55244	26562
108558	26562
115796	29616
55245	29616
108755	29739
108021	29739
108078	29739
108022	31845
108023	31845
22380	19805
122482	19805
51337	26561
55243	26562
107053	26561
11142	19795
22410	19795
29744	31476
100876	31476
121538	33614
121539	33614
130968	35514
130343	35351
113713	32396
113717	32396
119932	31641
100705	34285
100702	31025
24427	22425
24428	34285
24429	34285
100703	31025
24430	22425
100175	34285
100178	34285
100176	34285
12773	31025
100173	34285
118699	31025
100177	30809
100174	34285
122700	31025
100181	34285
100704	31025
59048	28240
108275	28240
9739	46
2532	44
2533	44
131619	44
9740	158
4484	24925
4503	24925
88	10129
89	88
89	96
8274	88
90	83
90	97
127183	83
127183	97
91	89
91	10131
220	89
220	10131
2526	91
222	91
8258	10128
8203	6373
93	98
2527	98
94	80
94	90
94	98
236	80
236	98
131618	91
95	93
96	4186
8251	4186
8250	4186
8234	153
8257	97
2528	91
97	91
8260	6373
8259	10128
2529	98
98	98
2530	80
2530	90
2530	98
99	80
99	90
99	98
2531	93
100	93
100	110
9764	4186
8236	155
125931	113
101	119
101	120
102	119
102	120
8253	117
9728	116
17422	108
105	111
103	109
103	110
124191	109
124191	110
107	115
2535	115
108	115
2536	115
8252	114
9729	114
9730	155
109	119
109	120
110	120
112635	120
9780	117
113	110
125955	110
111	109
111	110
2537	109
2537	110
121904	110
115	115
2539	115
112	115
116	115
9726	114
125927	114
8285	102
118	47
117	102
8265	133
120	55
122	54
122	10149
123	103
22624	5333
124	50
119	50
119	52
125	57
127	53
127	58
128	58
131	36
131	42
131	10150
131620	36
133	49
134	51
129	151
8264	152
128584	10150
135	55
8266	55
136	41
136	57
