23783	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
23783	7146	General	_NotDefined		1	DAF N-Series 187N	1 - DAF N-Series 187N
23783	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
23783	7147	General	_NotDefined		2	DAF HR HR1670T	2 - DAF HR HR1670T
23863	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23863	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23863	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
23863	7147	General	_NotDefined		2	DAF HR HR1670T	2 - DAF HR HR1670T
23863	7148	General	_NotDefined		2	DAF HR HR1360T	2 - DAF HR HR1360T
23964	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23964	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23964	5789	General	_NotDefined		2	DAF HR HR1357	2 - DAF HR HR1357
23964	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
19938	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23793	5771	General	_NotDefined		2	DAF SR SR1132	2 - DAF SR SR1132
23793	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23819	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23824	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23832	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23832	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17583	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17583	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
17583	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17583	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17583	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17638	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17638	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17638	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17638	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17586	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17586	5773	General	_NotDefined		2	DAF SR SR1339	2 - DAF SR SR1339
17586	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17586	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17589	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17589	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
17589	5773	General	_NotDefined		2	DAF SR SR1339	2 - DAF SR SR1339
17589	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
