1118	396	523	PRESTOLITE ELECTRIC	854430	0	PRESTOLITE ELECTRIC
1118	214	544	REMY	2117204	0	REMY
1118	4623	565	SAMPA	1073566375	0	SAMPA
1118	4592	566	SANDO	1071379214	0	SANDO
1118	4811	577	SERA	1071693359	0	SERA
1118	269	587	SMPE	1072384836	0	SMPE
1118	408	589	SNRA	1071824889	0	SNRA
1118	4675	603	STARLINE	240395	0	STARLINE
1117	4771	604	StartVOLT	1071789804	0	StartVOLT
1118	4595	607	STELLOX	1072498577	0	STELLOX
1118	336	611	ST-TEMPLIN	349880	0	ST-TEMPLIN
1118	151	613	SWAG	1072050097	0	SWAG
918	209	639	TRUCKTEC AUTOMOTIVE	1073638694	0	TRUCKTEC AUTOMOTIVE
1017	4620	657	UNIPOINT	1405454	0	UNIPOINT
1118	21	661	VALEO	487111	0	VALEO
518	4425	667	VEMA	1071183045	0	VEMA
1118	4346	673	VIKA	1073248618	0	VIKA
1018	4627	680	WAI	1068473193	0	WAI
1118	4832	689	WILMINK GROUP	1072329873	0	WILMINK GROUP
318	4551	706	3Effe Group	1071240889	0	3Effe Group
1018	459	350	IPS Parts	1072192527	0	IPS Parts
918	4461	367	KAISHIN	2006463	0	KAISHIN
1118	4331	583	SIEGEL AUTOMOTIVE	1073295190	0	SIEGEL AUTOMOTIVE
1118	4970	634	TRICLO	1069571082	0	TRICLO
1118	108	636	TRISCAN	2938908	0	TRISCAN
918	4598	709	3RG	1462985	0	3RG
1118	4631	54	ASVA	1280799	0	ASVA
1118	4628	57	ATI	1072128576	0	ATI
1118	300	60	AUTEX	2657047	0	AUTEX
718	4943	76	AYWIPARTS	1071225768	0	AYWIPARTS
1118	243	137	CAR	2212831	0	CAR
1118	318	146	CDX	23006	0	CDX
1118	311	152	CIFAM	1072650527	0	CIFAM
1118	186	179	DENCKERMANN	1072625539	0	DENCKERMANN
1118	371	182	DEPA	325770	0	DEPA
1118	253	185	DIEDERICHS	1073565742	0	DIEDERICHS
1118	4519	191	DJ PARTS	1073419526	0	DJ PARTS
218	4345	192	DODA	562783	0	DODA
1118	4318	208	DYNAMATRIX	1979818	0	DYNAMATRIX
1118	4135	210	DYS	172793	0	DYS
1118	4834	254	FARE SA	173316	0	FARE SA
1118	4674	257	FEBEST	1069567196	0	FEBEST
1118	4727	276	FORMPART	1072816648	0	FORMPART
1118	316	301	GENERAL RICAMBI	377678	0	GENERAL RICAMBI
1118	373	316	GSP	2225893	0	GSP
1118	262	349	IPD	1310861	0	IPD
818	185	370	KAMOKA	3491910	0	KAMOKA
1118	4522	392	KSH-KOSHIMO	1073199966	0	KSH-KOSHIMO
