115976	7302	14544	AEON	4331	2011-02-01	2011-12-31	Urban 125	AEON MOTORCYCLES URBAN Urban 125	1
120430	7303	14544	AEON	4331	2012-01-01	0000-00-00	Urban 125	AEON MOTORCYCLES URBAN Urban 125	1
115977	7304	14544	AEON	4331	2011-02-01	2011-12-31	Urban 350i	AEON MOTORCYCLES URBAN Urban 350i	1
120428	7305	14544	AEON	4331	2012-01-01	0000-00-00	Urban 350i	AEON MOTORCYCLES URBAN Urban 350i	1
117888	7306	14544	AEON	4331	2013-11-01	0000-00-00	Urban 400i	AEON MOTORCYCLES URBAN Urban 400i	1
117887	7307	14544	AEON	4331	2015-07-01	0000-00-00	Urban 400i	AEON MOTORCYCLES URBAN Urban 400i	1
120432	8158	36700	AEON	4331	2012-01-01	0000-00-00	My 125i	AEON MOTORCYCLES MY My 125i	1
112416	6665	14024	AGRALE MC	4238	1993-01-01	1999-01-31	Canyon 500	AGRALE MOTORCYCLES CANYON Canyon 500	0
112287	6620	13993	AGRALE MC	4238	1998-01-01	1998-12-31	City 50	AGRALE MOTORCYCLES CITY City 50	0
112403	6621	13993	AGRALE MC	4238	1997-01-01	1999-12-31	City 90	AGRALE MOTORCYCLES CITY City 90	0
115211	6617	13991	AGRALE MC	4238	1986-01-01	1991-12-31	Dakar 30.0	AGRALE MOTORCYCLES DAKAR Dakar 30.0	0
112285	6618	13991	AGRALE MC	4238	1998-01-01	1998-12-31	Dakar 50	AGRALE MOTORCYCLES DAKAR Dakar 50	0
119171	6606	13986	AGRALE MC	4238	1986-01-01	1989-12-31	Elefant 16.5	AGRALE MOTORCYCLES ELEFANT Elefant 16.5	0
113103	6607	13986	AGRALE MC	4238	1990-01-01	1994-12-31	Elefant 16.5	AGRALE MOTORCYCLES ELEFANT Elefant 16.5	0
112269	6608	13986	AGRALE MC	4238	1985-01-01	1997-01-31	Elefant 27.5	AGRALE MOTORCYCLES ELEFANT Elefant 27.5	0
112419	6609	13986	AGRALE MC	4238	1985-01-01	1997-12-31	Elefant Dakar 30.0	AGRALE MOTORCYCLES ELEFANT Elefant Dakar 30.0	0
112271	6610	13986	AGRALE MC	4238	1995-01-01	1995-12-31	Elefant 900	AGRALE MOTORCYCLES ELEFANT Elefant 900	0
113104	6666	14025	AGRALE MC	4238	1989-01-01	1998-12-31	Elefantré 16.5	AGRALE MOTORCYCLES ELEFANTRE Elefantré 16.5	0
112428	6667	14025	AGRALE MC	4238	1985-01-01	1997-12-31	Elefantré 30.0	AGRALE MOTORCYCLES ELEFANTRE Elefantré 30.0	0
112290	6627	13995	AGRALE MC	4238	1998-01-01	1998-12-31	Force 50	AGRALE MOTORCYCLES FORCE Force 50	0
113105	6628	13995	AGRALE MC	4238	1998-01-01	2000-12-31	Force 90	AGRALE MOTORCYCLES FORCE Force 90	0
112294	6629	13996	AGRALE MC	4238	1998-01-01	1998-12-31	Legion 125	AGRALE MOTORCYCLES LEGION Legion 125	0
112436	6668	14026	AGRALE MC	4238	1993-01-01	1999-12-31	Monster 900	AGRALE MOTORCYCLES MONSTER Monster 900	0
113648	6802	14218	AGRALE MC	4238	1995-01-01	2001-12-31	Roadster 200	AGRALE MOTORCYCLES ROADSTER Roadster 200	0
112274	6611	13987	AGRALE MC	4238	1988-01-01	1997-12-31	SST 13.5	AGRALE MOTORCYCLES SST SST 13.5	0
112280	6612	13988	AGRALE MC	4238	1986-01-01	1995-12-31	STX 27.5	AGRALE MOTORCYCLES STX STX 27.5	0
120385	8157	36696	AGRALE MC	4238	1994-01-01	1994-12-31	Super City 125	AGRALE MOTORCYCLES SUPER CITY Super City 125	0
113106	6720	14146	AGRALE MC	4238	1990-01-01	1994-12-31	SXT 16.5	AGRALE MOTORCYCLES SXT SXT 16.5	0
112286	6619	13992	AGRALE MC	4238	1998-01-01	1998-12-31	Tchau 50	AGRALE MOTORCYCLES TCHAU Tchau 50	0
113107	6721	14147	AGRALE MC	4238	1993-01-01	1999-12-31	W 16	AGRALE MOTORCYCLES W W 16	0
112281	6613	13989	AGRALE MC	4238	1993-01-01	1997-12-31	WR 250	AGRALE MOTORCYCLES WR WR 250	0
113108	6614	13989	AGRALE MC	4238	1993-01-01	1996-12-31	WR 360	AGRALE MOTORCYCLES WR WR 360	0
115095	6615	13990	AGRALE MC	4238	1986-01-01	1989-01-31	WXT 125	AGRALE MOTORCYCLES WXT WXT 125	0
112283	6616	13990	AGRALE MC	4238	1989-01-01	1997-12-31	WXT 125	AGRALE MOTORCYCLES WXT WXT 125	0
115213	7001	14386	AMAZONAS	4367	2001-01-01	2001-12-31	1600	AMAZONAS MOTORCYCLES 1600 1600	0
115214	7002	14387	AMAZONAS	4367	2006-01-01	2006-12-31	AME 110 MIX	AMAZONAS MOTORCYCLES AME AME 110 MIX	0
115215	7003	14387	AMAZONAS	4367	2009-01-01	2009-12-31	AME 150 SC	AMAZONAS MOTORCYCLES AME AME 150 SC	0
115217	7004	14387	AMAZONAS	4367	2006-01-01	2006-12-31	AME 250 C1	AMAZONAS MOTORCYCLES AME AME 250 C1	0
115219	7005	14387	AMAZONAS	4367	2006-01-01	2006-12-31	AME LX 125	AMAZONAS MOTORCYCLES AME AME LX 125	0
103421	375	12054	APRILIA MO	4049	1988-01-01	1992-12-31	AF-1 50	APRILIA MOTORCYCLES AF-1 AF-1 50	1
90100009	376	12054	APRILIA MO	4049	1996-01-01	2002-12-31	AF-1  50	APRILIA MOTORCYCLES AF-1 AF-1  50	0
103420	377	12054	APRILIA MO	4049	1988-01-01	1992-12-31	AF-1 50 Futura	APRILIA MOTORCYCLES AF-1 AF-1 50 Futura	1
103419	378	12054	APRILIA MO	4049	1987-01-01	1990-12-31	AF-1 50 Replica	APRILIA MOTORCYCLES AF-1 AF-1 50 Replica	1
103424	379	12054	APRILIA MO	4049	1988-01-01	1992-12-31	AF-1 125	APRILIA MOTORCYCLES AF-1 AF-1 125	1
103427	380	12054	APRILIA MO	4049	1988-01-01	1989-12-31	AF-1 125 Sinesi Replica	APRILIA MOTORCYCLES AF-1 AF-1 125 Sinesi Replica	1
103426	381	12054	APRILIA MO	4049	1989-01-01	1992-12-31	AF-1 125 Futura	APRILIA MOTORCYCLES AF-1 AF-1 125 Futura	1
103422	382	12054	APRILIA MO	4049	1992-01-01	1992-12-31	AF-1 125 Replica	APRILIA MOTORCYCLES AF-1 AF-1 125 Replica	1
103425	383	12054	APRILIA MO	4049	1990-01-01	1992-12-31	AF-1 125 Replica	APRILIA MOTORCYCLES AF-1 AF-1 125 Replica	1
103423	384	12054	APRILIA MO	4049	1992-01-01	1993-12-31	AF-1 125 Sport Pro	APRILIA MOTORCYCLES AF-1 AF-1 125 Sport Pro	1
90100010	8682	91004	APRILIA MO	4049	2002-01-01	2012-12-31	ARRECIFE 125	APRILIA MOTORCYCLES ARRECIFE ARRECIFE 125	0
90100011	8683	91004	APRILIA MO	4049	2003-01-01	2008-12-31	ARRECIFE 200	APRILIA MOTORCYCLES ARRECIFE ARRECIFE 200	0
90100013	8684	91004	APRILIA MO	4049	2006-01-01	2008-12-31	ARRECIFE 250	APRILIA MOTORCYCLES ARRECIFE ARRECIFE 250	0
90100012	8685	91004	APRILIA MO	4049	2004-01-01	2005-12-31	ARRECIFE 250	APRILIA MOTORCYCLES ARRECIFE ARRECIFE 250	0
90100014	8686	91004	APRILIA MO	4049	2010-01-01	2014-12-31	ARRECIFE 300	APRILIA MOTORCYCLES ARRECIFE ARRECIFE 300	0
90100015	8687	91004	APRILIA MO	4049	2001-01-01	2004-12-31	ARRECIFE 500	APRILIA MOTORCYCLES ARRECIFE ARRECIFE 500	0
90100017	8688	91005	APRILIA MO	4049	1989-01-01	1990-12-31	CLIMBER 240	APRILIA MOTORCYCLES CLIMBER CLIMBER 240	0
90100020	8689	91005	APRILIA MO	4049	1993-01-01	1996-12-31	CLIMBER 250 R	APRILIA MOTORCYCLES CLIMBER CLIMBER 250 R	0
90100019	8690	91005	APRILIA MO	4049	1989-01-01	1992-12-31	CLIMBER 250 R	APRILIA MOTORCYCLES CLIMBER CLIMBER 250 R	0
90100018	8691	91005	APRILIA MO	4049	1990-01-01	1994-12-31	CLIMBER 280	APRILIA MOTORCYCLES CLIMBER CLIMBER 280	0
90100022	8692	91006	APRILIA MO	4049	2009-01-01	2013-12-31	COMPAY 50	APRILIA MOTORCYCLES COMPAY COMPAY 50	0
90100021	8693	91006	APRILIA MO	4049	2004-01-01	2005-12-31	COMPAY 50	APRILIA MOTORCYCLES COMPAY COMPAY 50	0
90100024	8694	91007	APRILIA MO	4049	0000-00-00	0000-00-00	CUSTOM 50	APRILIA MOTORCYCLES CUSTOM CUSTOM 50	0
90100038	8695	91008	APRILIA MO	4049	2008-01-01	2013-12-31	MXV 450	APRILIA MOTORCYCLES MXV MXV 450	0
90100041	8696	91009	APRILIA MO	4049	2002-01-01	2004-12-31	QUASAR ATV 125	APRILIA MOTORCYCLES QUASAR ATV QUASAR ATV 125	0
90100042	8697	91009	APRILIA MO	4049	2002-01-01	2004-12-31	QUASAR ATV 180	APRILIA MOTORCYCLES QUASAR ATV QUASAR ATV 180	0
90100062	8698	91010	APRILIA MO	4049	1992-01-01	1992-12-31	SPORT PRO 125	APRILIA MOTORCYCLES SPORT PRO SPORT PRO 125	0
90100069	8699	91011	APRILIA MO	4049	1995-01-01	2001-12-31	STARK 650	APRILIA MOTORCYCLES STARK STARK 650	0
103440	385	12055	APRILIA MO	4049	1994-01-01	2001-12-31	Amico 25 CatCon. (MK)	APRILIA MOTORCYCLES AMICO Amico 25 CatCon. (MK)	1
102128	386	12055	APRILIA MO	4049	1990-01-01	1994-12-31	Amico 50 CatCon. (GC)	APRILIA MOTORCYCLES AMICO Amico 50 CatCon. (GC)	1
103441	387	12055	APRILIA MO	4049	1995-01-01	1996-12-31	Amico 50 LX CatCon.	APRILIA MOTORCYCLES AMICO Amico 50 LX CatCon.	1
103442	388	12055	APRILIA MO	4049	1992-01-01	1993-12-31	Amico 50 Sport CatCon.	APRILIA MOTORCYCLES AMICO Amico 50 Sport CatCon.	1
