4301	AES	1	AES	0	0	0	0	0	0	0	0
2630	AFA	1	AFA	0	0	0	0	0	0	0	0
4548	AFI	1	AFI	0	0	0	0	0	0	0	0
3524	AG	1	AG	0	0	0	0	0	0	0	0
4823	A.G.C.	1	A.G.C.	0	0	0	0	0	0	0	0
1033	AGCO	0	AGCO	0	1	0	0	0	0	0	1
4391	AGCO ALLIS	0	AGCO ALLIS	0	1	0	0	0	0	0	0
3701	AGCOSISUP	0	AGCO SISU POWER	0	0	0	0	0	0	0	0
3430	AGIP	1	AGIP	0	0	0	0	0	0	0	0
2567	AGIS-ZAVOR	1	AGIS-ZAVORE	0	0	0	0	0	0	0	0
128	AGRALE	0	AGRALE	1	1	0	0	0	0	0	0
4238	AGRALE MC	0	AGRALE MOTORCYCLES	0	0	0	1	0	0	0	0
659	AGRIA	0	AGRIA	0	0	0	0	0	0	0	0
1034	AGRIF	0	AGRIFULL	0	0	0	0	0	0	0	0
3950	AGRIFAC	0	AGRIFAC	0	0	0	0	0	0	0	0
3909	AGROMASH	0	AGROMASH	0	0	0	0	0	0	0	0
3910	AGROMEHANI	0	AGROMEHANIKA	0	0	0	0	0	0	0	0
3243	AHE	1	AHE	0	0	0	0	0	0	0	0
912	AHLMA	0	AHLMANN	0	0	0	0	0	0	0	0
4148	AHS	1	AHS PRÜFTECHNIK	0	0	0	0	0	0	0	0
4090	AHWI	0	AHWI	0	0	0	0	0	0	0	0
3502	A.I.C.	1	A.I.C. Competition	0	0	0	0	0	0	0	0
3534	AIKO	1	AIKO	0	0	0	0	0	0	0	0
2725	AIMCO	1	AIMCO	0	0	0	0	0	0	0	0
3602	AINDE	1	AINDE	0	0	0	0	0	0	0	0
744	AIR	1	AIR REFINER	0	0	0	0	0	0	0	0
2723	AIR FREN	1	AIR FREN	0	0	0	0	0	0	0	0
4190	AIRLINE	1	AIRLINE	0	0	0	0	0	0	0	0
4757	Airstal	1	Airstal	0	0	0	0	0	0	0	0
3621	AIRTECH	1	AIRTECH	0	0	0	0	0	0	0	0
2147	AIRTEX	1	AIRTEX	0	0	0	0	0	0	0	0
1865	AISIN	1	AISIN	0	0	0	0	0	0	0	0
4422	AISIN AU	1	AISIN-AU	0	0	0	0	0	0	0	0
1480	AIXAM	0	AIXAM	1	0	0	0	0	0	0	1
2141	AJUSA	1	AJUSA	0	0	0	0	0	0	0	0
1609	AKEBONO	1	AKEBONO	0	0	0	0	0	0	0	0
913	AKERM	0	AKERMAN VERKSTAD AB	0	0	0	0	0	0	0	0
4855	AKG	1	AKG	0	0	0	0	0	0	0	0
682	AKG	1	AKG	0	0	0	0	0	0	0	0
3776	AKITAKA	1	AKITAKA	0	0	0	0	0	0	0	0
